failure_mode_id,response_pattern_id,priority,notes
FM001,RP001,primary,Temperature Monitoring & Cold Chain
FM002,RP002,primary,Allergen Management & PPDS Compliance
FM003,RP003,primary,Hygiene Handwashing & Cleaning Discipline
FM004,RP003,primary,Hygiene Handwashing & Cleaning Discipline
FM005,RP003,primary,Hygiene Handwashing & Cleaning Discipline
FM006,RP003,primary,Hygiene Handwashing & Cleaning Discipline
FM007,RP004,primary,HACCP & Food Safety Management System
FM008,RP001,primary,Temperature Monitoring & Cold Chain
FM009,RP005,primary,Food Safety Training & EHO Readiness
FM010,RP005,primary,Food Safety Training & EHO Readiness
FM011,RP006,primary,Queue Management & Service Speed
FM012,RP007,primary,Order Accuracy & Service Quality
FM013,RP007,primary,Order Accuracy & Service Quality
FM014,RP009,primary,Complaint Resolution & Service Recovery
FM015,RP008,primary,Customer Retention & Loyalty
FM016,RP010,primary,Customer Journey & Accessibility
FM017,RP010,primary,Customer Journey & Accessibility
FM018,RP009,primary,Complaint Resolution & Service Recovery
FM019,RP011,primary,Espresso Extraction & Shot Quality
FM020,RP011,primary,Espresso Extraction & Shot Quality
FM021,RP012,primary,Milk Craft & Drink Presentation
FM022,RP013,primary,Water Quality & Equipment Care
FM023,RP014,primary,Food Quality & Menu Innovation
FM024,RP014,primary,Food Quality & Menu Innovation
FM025,RP015,primary,Recipe Standards & Portion Control
FM026,RP016,primary,Coffee Waste & Sustainability
FM027,RP012,primary,Milk Craft & Drink Presentation
FM028,RP017,primary,Dietary Inclusivity & Alternative Options
FM029,RP018,primary,Staff Retention & Engagement
FM030,RP019,primary,Onboarding & Barista Training
FM031,RP019,primary,Onboarding & Barista Training
FM032,RP020,primary,Team Communication & Meetings
FM033,RP021,primary,Performance Management & Career Development
FM034,RP022,primary,Key Person Risk & Cross-Training
FM035,RP021,primary,Performance Management & Career Development
FM036,RP018,primary,Staff Retention & Engagement
FM037,RP023,primary,Owner Role & Leadership Development
FM038,RP020,primary,Team Communication & Meetings
FM039,RP026,primary,Daily Routines & Shift Handover
FM040,RP024,primary,Peak Staffing & Rush Management
FM041,RP025,primary,Workflow Layout & Station Design
FM042,RP024,primary,Peak Staffing & Rush Management
FM043,RP025,primary,Workflow Layout & Station Design
FM044,RP027,primary,Stock Management & Par Levels
FM045,RP026,primary,Daily Routines & Shift Handover
FM046,RP028,primary,Seating & Capacity Management
FM047,RP029,primary,Delivery Integration & Waste Tracking
FM048,RP029,primary,Delivery Integration & Waste Tracking
FM049,RP030,primary,Coffee Roaster & Supplier Relationships
FM050,RP030,primary,Coffee Roaster & Supplier Relationships
FM051,RP030,primary,Coffee Roaster & Supplier Relationships
FM052,RP030,primary,Coffee Roaster & Supplier Relationships
FM053,RP031,primary,Food Cost & Coffee Cost Control
FM054,RP031,primary,Food Cost & Coffee Cost Control
FM055,RP031,primary,Food Cost & Coffee Cost Control
FM056,RP033,primary,Ethical Sourcing & Supply Resilience
FM057,RP032,primary,Inventory Management & Stock Control
FM058,RP033,primary,Ethical Sourcing & Supply Resilience
FM059,RP034,primary,Revenue Growth & Pricing Strategy
FM060,RP034,primary,Revenue Growth & Pricing Strategy
FM061,RP034,primary,Revenue Growth & Pricing Strategy
FM062,RP035,primary,Financial Review & Budgeting
FM063,RP036,primary,Cost Structure & Payroll Control
FM064,RP036,primary,Cost Structure & Payroll Control
FM065,RP035,primary,Financial Review & Budgeting
FM066,RP037,primary,Third-Party Delivery & Margin Protection
FM067,RP037,primary,Third-Party Delivery & Margin Protection
FM068,RP038,primary,Cash Handling & Reconciliation
FM069,RP039,primary,Online Reviews & Reputation Management
FM070,RP040,primary,Social Media & Visual Branding
FM071,RP039,primary,Online Reviews & Reputation Management
FM072,RP041,primary,Brand Identity & Customer Acquisition
FM073,RP041,primary,Brand Identity & Customer Acquisition
FM074,RP042,primary,Community Marketing & Local Engagement
FM075,RP043,primary,Exterior Presentation & Cleanliness
FM076,RP044,primary,Interior Design & Atmosphere
FM077,RP043,primary,Exterior Presentation & Cleanliness
FM078,RP044,primary,Interior Design & Atmosphere
FM079,RP044,primary,Interior Design & Atmosphere
FM080,RP045,primary,Equipment Maintenance & Organisation
FM081,RP046,primary,POS & Digital Ordering
FM082,RP046,primary,POS & Digital Ordering
FM083,RP047,primary,Data Analytics & Customer CRM
FM084,RP047,primary,Data Analytics & Customer CRM
FM085,RP048,primary,IT Infrastructure & Security
FM086,RP049,primary,Business Planning & Market Positioning
FM087,RP050,primary,Revenue Diversification & Expansion
FM088,RP050,primary,Revenue Diversification & Expansion
FM089,RP049,primary,Business Planning & Market Positioning
FM090,RP049,primary,Business Planning & Market Positioning
FM091,RP050,primary,Revenue Diversification & Expansion
FM092,RP051,primary,Values Alignment & Standards Culture
FM093,RP051,primary,Values Alignment & Standards Culture
FM094,RP051,primary,Values Alignment & Standards Culture
FM095,RP052,primary,Community Identity & Belonging
FM096,RP052,primary,Community Identity & Belonging
FM097,RP053,primary,Operational Rhythm & Daily Discipline
FM098,RP054,primary,Regulatory Compliance & Risk Management
FM099,RP054,primary,Regulatory Compliance & Risk Management
FM100,RP054,primary,Regulatory Compliance & Risk Management
FM101,RP054,primary,Regulatory Compliance & Risk Management
FM102,RP055,primary,Multi-Site & Chain Management
FM103,RP055,primary,Multi-Site & Chain Management
FM104,RP055,primary,Multi-Site & Chain Management
FM105,RP055,primary,Multi-Site & Chain Management
FM106,RP055,primary,Multi-Site & Chain Management
FM107,RP055,primary,Multi-Site & Chain Management
FM108,RP055,primary,Multi-Site & Chain Management
FM109,RP035,primary,Financial Review — VAT & tax reporting obligations
FM110,RP054,primary,Regulatory Compliance — social insurance & employee registrations
FM111,RP054,primary,Regulatory Compliance — food business operator licence
FM112,RP054,primary,Regulatory Compliance — labour law & employment contracts
FM113,RP036,primary,Cost Structure — seasonal energy cost management
FM114,RP043,primary,Exterior Presentation — terrace season planning & permits
FM115,RP049,primary,Business Planning — tourist vs local segment strategy
FM116,RP046,primary,POS & Digital — local payment method support
FM117,RP018,primary,Staff Retention — team mental health & winter wellbeing
FM118,RP054,primary,Regulatory Compliance — alcohol licence conditions
